PERSON_GROUP,Cycl,None,Other,PrT,PuT,Walk,TOTAL,CyclP,PrTP,PuTP,WalkP
EmployedF1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
EmployedF2,0.0,1.0,0.0,2.0,4.0,4.0,10.0,0.0,0.2,0.4,0.4
EmployedF3,0.0,2.0,0.0,18.0,10.0,15.0,43.0,0.0,0.4186046511627907,0.23255813953488372,0.3488372093023256
EmployedF4,3.0,1.0,0.0,15.0,6.0,11.0,35.0,0.08571428571428572,0.42857142857142855,0.17142857142857143,0.3142857142857143
EmployedF5,3.0,1.0,0.0,19.0,5.0,2.0,29.0,0.10344827586206896,0.6551724137931034,0.1724137931034483,0.06896551724137931
EmployedIF2,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.3333333333333333,0.0,0.0,0.6666666666666666
EmployedIF3,2.0,5.0,0.0,0.0,2.0,5.0,9.0,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556
EmployedIF4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
EmployedIF5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Other1,0.0,16.0,0.0,2.0,3.0,9.0,14.0,0.0,0.14285714285714285,0.21428571428571427,0.6428571428571429
Other2,0.0,25.0,0.0,5.0,4.0,5.0,14.0,0.0,0.35714285714285715,0.2857142857142857,0.35714285714285715
Other3,0.0,39.0,0.0,7.0,7.0,3.0,17.0,0.0,0.4117647058823529,0.4117647058823529,0.17647058823529413
Other4,0.0,10.0,0.0,7.0,1.0,1.0,9.0,0.0,0.7777777777777778,0.1111111111111111,0.1111111111111111
Other5,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Retired1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retired2,1.0,2.0,0.0,3.0,0.0,0.0,4.0,0.25,0.75,0.0,0.0
Retired3,0.0,3.0,0.0,9.0,3.0,2.0,14.0,0.0,0.6428571428571429,0.21428571428571427,0.14285714285714285
Retired4,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Retired5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
School1,0.0,1.0,0.0,0.0,2.0,8.0,10.0,0.0,0.0,0.2,0.8
School2,0.0,0.0,0.0,2.0,2.0,17.0,21.0,0.0,0.09523809523809523,0.09523809523809523,0.8095238095238095
School3,0.0,4.0,1.0,2.0,5.0,29.0,36.0,0.0,0.05555555555555555,0.1388888888888889,0.8055555555555556
School4,0.0,0.0,0.0,9.0,2.0,7.0,18.0,0.0,0.5,0.1111111111111111,0.3888888888888889
School5,0.0,1.0,0.0,4.0,1.0,1.0,6.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666
Student5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Unemployed1,0.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0
Unemployed2,0.0,6.0,0.0,1.0,2.0,9.0,12.0,0.0,0.08333333333333333,0.16666666666666666,0.75
Unemployed3,0.0,3.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,0.5,0.5
Unemployed4,0.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.8,0.0,0.2
Unemployed5,0.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.6,0.0,0.4
