TAZ Number,Area_Name,EmployedIF2,Other1,Other2,Other3,Other4,Other5,Retired1,Retired2,Retired3,Retired4,Retired5,School1,School2,School3,School4,School5,Student1,Student2,Student3,Student4,Student5,Unemployed2,EmployedF1,EmployedF2,EmployedF3,EmployedF4,EmployedF5,EmployedIF1,EmployedIF2,EmployedIF3,EmployedIF4,EmployedIF5
6,Thembalethu SP,4.857277615,0,0,0,0,0,0,0,0,0,0,0.969863309,0,0.975675981,0.977652648,0,0,0,0,0,0,2.471656271,0,0,0,0,0,0.617996604,0,0.828428303,0.850992138,0
6,George Industria,0,1.924342105,1.77211472,1.9375,0,12.49388966,0.175743374,0.103589581,0.122540633,0,0.747734139,0.727397481,0.732756149,0.731756986,0,3.662475938,0,0,0,0,0,0,3.326144366,3.685732113,3.867316686,0,19.80999146,0.231748727,0.289959378,0.310660614,0,1.58149696
6,George SP2,0,1.275303644,0,1.284023669,5.066690602,11.5919639,0,0,0,0,0,2.461960706,0,2.476715953,9.926934582,17.35450137,0,0,0,0,0,2.572393529,2.605092091,0,3.028947335,12.23740362,21.7217249,0.570458404,0,0.764703049,3.142124816,5.450081833
6,Thembalethu SP,21.85774927,8.052631579,8.157180373,3.243076923,0,0,0,0,0,0,0,17.45753955,19.34476234,7.024867066,0,0,0,0,0,0,0,4.855327296,13.54647887,16.51207987,6.300210456,0,0,0.741595925,1.020657012,0.397645585,0,0
6,George Central,2.428638808,0.179425837,0.330464283,0.541958042,1.247480641,4.659725749,0.255626726,0.301351507,0.534722762,1.173329217,4.350453172,0.881693917,1.776378544,2.660934495,6.221425943,17.7574591,0.501757911,0.988044214,1.519955654,3.531531532,10.4568595,7.724777838,2.492317542,5.523521404,8.69347222,20.48838031,59.3754014,0.168544528,0.421759096,0.677804975,1.624621354,4.600718431
6,Fancourt Golf Estate,2.428638808,3.482972136,0,0,3.459400096,67.84012488,0.330811057,0,0,0.216918007,4.222498667,1.882675834,0,0,1.897796317,28.43804846,0.162333442,0,0,0.163222046,2.537326203,1.325408275,2.276719138,0,0,2.673718438,40.67934075,0.327174673,0,0,0.450525249,6.698104774
6,George Central,2.428638808,1.759398496,0.810109586,0.885714286,3.058109685,11.42298484,0.964077939,0.284131421,0.336111451,1.106281834,4.101855848,5.320393007,2.679793917,2.676139835,9.385465423,26.78839544,1.261562747,0.621056363,0.636933798,2.21981982,6.572883117,9.020589643,11.61126761,6.43327787,6.750225489,23.86293706,69.15487928,0.4237691,0.265105717,0.284032561,1.021190565,2.891880156
6,Thembalethu SP,2.428638808,6.334149327,2.282509121,2.218246869,0.547067922,0.35760686,0,0,0,0,0,26.45696886,10.4289945,9.257576754,2.319083026,1.158364483,0,0,0,0,0,42.09163642,27.17171634,11.78187517,10.98873917,2.774760124,1.407221381,4.958344849,2.427566888,2.311892939,0.593715445,0.294231993
6,Thembalethu SP,0,23.68421053,0,0,0,0,2.811893988,0,0,0,0,34.91507911,0,0,0,0,5.519337017,0,0,0,0,31.89392347,55.63732394,0,0,0,0,11.12393888,0,0,0,0
6,Thembalethu SP,7.285916423,15.31306715,3.760455639,4.111405836,4.055848389,2.651223271,0,0,0,0,0,30.09920613,8.085585096,8.074559846,8.090918468,4.04135276,2.854829491,0.749550783,0.768713204,0.76545511,0.396639498,21.20278089,17.51699854,5.176200585,5.43121591,5.485732658,2.782092845,10.54856273,3.519506937,3.770777104,3.873481455,1.919610104
6,Thembalethu SP,4.857277615,10.35338346,3.707809261,2.895604396,1.713885648,1.49377494,0.723058454,0.165743329,0.140046438,0.079020131,0.068364264,34.41629226,13.48271315,9.617377531,5.782117091,3.850831844,0,0,0,0,0,52.15479379,9.952515091,4.288851913,3.21439309,1.947994862,1.317235796,0.953480475,0.463935005,0.355040701,0.21882655,0.144594008
