direction,area,long,lat,bellat,bellong,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
arrival,Atlantis,18.4869555,-33.5062662,-33.905804,18.629444,,,,,,,,,,,,,,8,,
arrival,Belhar,18.6235004,-33.9436345,-33.905804,18.629444,,25,121,200,152,127,136,88,112,67,127,34,96,65,31,
arrival,Bellville South,18.6450258,-33.9221116,-33.905804,18.629444,,43,55,55,14,27,25,0,46,1,49,14,58,37,17,
arrival,Blackheath,18.6977312,-33.966985,-33.905804,18.629444,,0,45,0,0,0,15,0,0,0,8,0,28,21,0,
arrival,Bloekombos,18.7497014,-33.8444891,-33.905804,18.629444,,6,30,42,90,0,15,22,15,0,29,22,16,37,0,
arrival,Blomtuin,18.6487372,-33.8845272,-33.905804,18.629444,,15,15,30,45,,,14,15,15,29,,0,14,,
arrival,Brackenfell,18.6947617,-33.8786748,-33.905804,18.629444,,,,,,3,,0,,,,,0,,0,
arrival,Bredarsdorp,20.0568771,-34.5385222,-33.905804,18.629444,,,,,14,,0,,0,17,,,,,,
arrival,Buttersworth,28.1446262,-32.3323496,-33.905804,18.629444,,,22,,,,,,,,,,,,,
arrival,Cape Gate,18.6962464,-33.8528702,-33.905804,18.629444,,0,52,74,58,24,68,45,14,59,90,70,61,61,33,
arrival,Cape Town,18.4240553,-33.9248685,-33.905804,18.629444,,42,275,323,129,238,212,129,101,67,130,213,193,280,120,
arrival,Century City,18.5136667,-33.8880429,-33.905804,18.629444,,0,16,39,0,9,,26,15,,7,30,16,26,10,
arrival,Ceres,19.295048,-33.4006883,-33.905804,18.629444,,,,,,0,,,,,,,,,,
arrival,Delft,18.6472527,-33.9614433,-33.905804,18.629444,,382,1635,1789,674,952,740,680,441,374,505,552,426,428,24,
arrival,Du Noon,18.5418641,-33.8176699,-33.905804,18.629444,,,,,54,,15,,15,,16,17,,30,15,
arrival,Dunoon,18.5418641,-33.8176699,-33.905804,18.629444,,,28,16,32,25,18,42,18,21,0,29,59,116,52,
arrival,Durbanville,18.6531909,-33.8259414,-33.905804,18.629444,,37,83,210,180,91,58,67,45,73,63,166,450,518,269,
arrival,Eerste River,18.7393068,-33.9980908,-33.905804,18.629444,,23,177,214,174,173,94,119,120,61,174,88,146,107,20,
arrival,Eversdal,18.6517064,-33.862527,-33.905804,18.629444,,14,48,78,40,0,29,,,0,,15,15,,,
arrival,Groote Schuur Hospital,18.4617185,-33.9410382,-33.905804,18.629444,,,,,,,,,,,,,2,,,
arrival,Gugulethu,18.5670952,-33.9820184,-33.905804,18.629444,,,59,45,30,20,59,20,45,29,30,30,68,29,0,
arrival,Harare,18.6724911,-34.0582933,-33.905804,18.629444,,,,,0,,0,,13,14,13,,,0,,
arrival,Harare/Makhaza,18.712196,-34.041435,-33.905804,18.629444,,,68,75,47,0,15,22,0,15,25,24,39,15,9,
arrival,Heideveld - Cape Town,18.5537373,-33.9666112,-33.905804,18.629444,,,0,15,,,0,,,0,,,0,,,
arrival,Highbury Park,18.6799721,-33.9474999,-33.905804,18.629444,,,30,44,15,9,,,6,15,,15,14,0,0,
arrival,Karl Bremer,18.6079139,-33.8915696,-33.905804,18.629444,,,20,0,4,16,8,8,0,20,18,4,4,,,
arrival,Kensington,18.5077307,-33.9105051,-33.905804,18.629444,,91,281,182,133,74,154,104,51,20,142,96,203,154,74,
arrival,Khayelitsha,18.6769451,-34.037444,-33.905804,18.629444,,166,467,328,193,119,265,152,86,29,246,138,303,199,104,
arrival,Khayelitsha Site C,18.649672,-34.0144639,-33.905804,18.629444,,,,,0,,,0,10,0,,,0,,0,
arrival,Kraaifontein,18.7185184,-33.8534192,-33.905804,18.629444,,170,564,625,516,403,303,189,227,246,283,379,577,522,161,
arrival,Kuilsriver,18.7066398,-33.941385,-33.905804,18.629444,,60,172,282,119,134,71,109,62,84,133,64,75,45,19,
arrival,Langa,18.5314753,-33.9445079,-33.905804,18.629444,,24,103,129,110,38,65,15,57,15,41,31,37,84,0,
arrival,Lower Crossroads / Phillipi,18.5967811,-33.9935296,-33.905804,18.629444,,,118,73,76,69,39,21,59,41,95,0,26,41,16,
arrival,Makhaza,18.712196,-34.041435,-33.905804,18.629444,,,,,6,,,,0,,0,15,,,,
arrival,Malibu Village,18.6932769,-33.9959128,-33.905804,18.629444,,,16,16,,15,15,15,0,6,,14,0,,,
arrival,Melton Rose Station,18.7203062,-33.9891943,-33.905804,18.629444,,,30,57,86,14,47,38,22,45,0,30,44,29,0,
arrival,Mfuleni,18.6858533,-34.006485,-33.905804,18.629444,,119,248,143,183,102,110,131,187,90,107,185,126,163,30,
arrival,Mithcells Plain,18.6056873,-34.0485946,-33.905804,18.629444,,32,249,129,173,90,85,38,72,55,46,17,47,92,22,
arrival,Mowbray,18.495859,-33.9500328,-33.905804,18.629444,,11,104,246,92,74,30,32,117,89,37,106,129,71,37,
arrival,Northpine,18.7155487,-33.8673434,-33.905804,18.629444,,,15,,0,,,,,,0,,15,,0,
arrival,Nyanga,18.5849064,-33.9953811,-33.905804,18.629444,,35,223,366,224,181,114,102,109,45,106,113,107,109,29,
arrival,Paarl,18.9621091,-33.7342304,-33.905804,18.629444,,,,15,,0,,1,,,,,11,0,19,
arrival,Parow,18.5808115,-33.9067916,-33.905804,18.629444,,,8,,,,0,,,,,,,,,
arrival,Pinehurst,18.6858533,-33.8343029,-33.905804,18.629444,,15,59,28,15,,,,30,16,,0,,,,
arrival,Samora Machel,18.5791109,-34.0207739,-33.905804,18.629444,,,50,44,45,23,29,44,15,45,17,14,26,37,14,
arrival,Serepta,18.6680371,-33.9339835,-33.905804,18.629444,,,,15,,,,,,,,,,0,,
arrival,Silversands,18.6784297,-33.9740437,-33.905804,18.629444,,30,15,30,30,0,14,15,0,59,19,16,7,0,14,
arrival,Khayelitsha Site B,18.673114,-34.0237793,-33.905804,18.629444,,,30,75,28,38,10,58,15,57,22,40,27,0,4,
arrival,Khayelitsha Site C,18.649672,-34.0144639,-33.905804,18.629444,,,30,105,15,33,44,41,15,41,29,60,23,0,0,
arrival,Somerset West,18.8432656,-34.0756899,-33.905804,18.629444,,,,,,,,14,,,,,,,,
arrival,Stellenbosch,18.860152,-33.9321045,-33.905804,18.629444,,4,14,44,45,43,29,44,14,30,44,59,25,44,0,
arrival,Tygerberg Hospital,18.6122929,-33.9105696,-33.905804,18.629444,,0,20,72,44,65,47,45,55,35,72,95,96,5,0,
arrival,Tygervalley,18.6350371,-33.8735434,-33.905804,18.629444,,12,78,158,155,48,12,30,8,83,31,39,153,38,55,
arrival,Wallacedene,18.7318822,-33.8607445,-33.905804,18.629444,,,0,,,,15,,,,,,,,,
arrival,Welgemoed,18.6145938,-33.8723559,-33.905804,18.629444,,10,51,138,52,42,3,37,6,0,7,53,136,50,,
arrival,Wesbank,18.7051551,-33.9886729,-33.905804,18.629444,,29,259,182,101,85,79,14,11,80,69,59,123,101,2,
arrival,Worcester,19.4616074,-33.65389,-33.905804,18.629444,,,0,,,,0,14,,,,0,,,,
,,,,,,0,1395,5983,6731,4193,3404,3087,2585,2249,2059,2859,2946,4007,3576,1200,0
,,,,,,,,,,,,,,,,,,,,,
departure,Atlantis,18.4869555,-33.5062662,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Belhar,18.6235004,-33.9436345,-33.905804,18.629444,45,0,88,122,87,140,112,118,117,33,61,15,244,161,0,0
departure,Bellville South,18.6450258,-33.9221116,-33.905804,18.629444,0,0,0,36,66,0,0,8,3,0,0,0,0,0,0,0
departure,Blackheath / Happy Valley,18.6977312,-33.966985,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Bloekombos,18.7497014,-33.8444891,-33.905804,18.629444,15,0,28,0,0,0,0,0,0,0,26,0,0,0,0,0
departure,Blomtuin,18.6487372,-33.8845272,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Brackenfell,18.6947617,-33.8786748,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Bredarsdorp,20.0568771,-34.5385222,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Buttersworth,28.1446262,-32.3323496,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Cape Gate,18.6962464,-33.8528702,-33.905804,18.629444,14,198,231,163,131,35,49,7,5,0,0,0,0,0,0,0
departure,Cape Town,18.4240553,-33.9248685,-33.905804,18.629444,112,299,393,264,218,324,271,181,222,131,314,218,319,383,58,29
departure,Century City,18.5136667,-33.8880429,-33.905804,18.629444,13,15,27,28,12,0,0,0,0,0,0,0,0,0,0,0
departure,Ceres,19.295048,-33.4006883,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Delft,18.6472527,-33.9614433,-33.905804,18.629444,263,879,895,603,485,582,618,516,546,655,762,919,1070,811,29,0
departure,Du Noon,18.5418641,-33.8176699,-33.905804,18.629444,0,43,42,28,26,41,43,15,29,6,0,48,0,0,15,0
departure,Durbanville,18.6531909,-33.8259414,-33.905804,18.629444,86,628,942,750,245,112,81,143,155,167,239,452,286,64,58,30
departure,Eerste River,18.7393068,-33.9980908,-33.905804,18.629444,15,172,285,170,117,125,187,215,221,207,166,221,157,151,0,15
departure,Eversdal,18.6517064,-33.862527,-33.905804,18.629444,15,21,0,0,0,15,0,0,0,0,0,15,0,0,0,0
departure,George,22.4529878,-33.9881281,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Groote Schuur Hospital,18.4617185,-33.9410382,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Gugulethu,18.5670952,-33.9820184,-33.905804,18.629444,0,41,0,0,30,15,0,26,0,0,0,162,193,120,0,0
departure,Harare,18.6724911,-34.0582933,-33.905804,18.629444,0,0,0,0,0,0,0,12,0,59,0,0,0,0,0,0
departure,Harare/Makhaza,18.712196,-34.041435,-33.905804,18.629444,0,0,57,0,11,0,0,27,22,18,168,134,212,186,13,0
departure,Heideveld - Cape Town,18.5537373,-33.9666112,-33.905804,18.629444,0,0,0,0,0,15,0,0,0,15,0,0,15,0,0,0
departure,Hermanus,19.2504436,-34.4092004,-33.905804,18.629444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
departure,Highbury Park,18.6799721,-33.9474999,-33.905804,18.629444,0,15,0,0,0,0,0,0,0,26,0,0,0,15,0,0
